keyword,intent,khu_vuc,cluster,volume_est,difficulty_est,priority,target_url_type,realsearch_job,ghi_chu
bán căn hộ Quận 7 giá rẻ,giao dịch,TP.HCM,can-ho-hcm,cao,cao,4,danh-muc/ban-can-ho/quan-7,keyword_seo,phân khúc nóng nhưng cạnh tranh
cho thuê căn hộ Quận 7 2 phòng ngủ,giao dịch,TP.HCM,can-ho-hcm,TB,TB,5,danh-muc/cho-thue-can-ho/quan-7,keyword_seo,long-tail chuyển đổi tốt
bán nhà phố Thủ Đức dưới 5 tỷ,giao dịch,TP.HCM,nha-pho-hcm,TB,TB,5,danh-muc/ban-nha-pho/thu-duc,keyword_seo,lọc theo giá - intent mua thực
mua bán đất nền Nhơn Trạch sổ đỏ,giao dịch,Đồng Nai,dat-nen-khu-dong,TB,thấp,5,danh-muc/ban-dat-nen/nhon-trach,keyword_seo,quick win vùng ven
đất nền Long An giá rẻ chính chủ,giao dịch,Long An,dat-nen-khu-tay,TB,thấp,5,danh-muc/ban-dat-nen/long-an,keyword_seo,quick win
bán căn hộ chung cư Quận 9 vào ở ngay,giao dịch,TP.HCM,can-ho-hcm,TB,TB,4,danh-muc/ban-can-ho/quan-9,keyword_seo,
cho thuê nhà nguyên căn Gò Vấp,giao dịch,TP.HCM,nha-pho-hcm,TB,TB,4,danh-muc/cho-thue-nha/go-vap,keyword_seo,
bán nhà mặt tiền kinh doanh Quận 5,giao dịch,TP.HCM,nha-pho-hcm,thấp,TB,4,danh-muc/ban-nha-mat-tien/quan-5,keyword_seo,giá trị cao
căn hộ chung cư Hà Nội giá dưới 3 tỷ,giao dịch,Hà Nội,can-ho-hanoi,cao,cao,4,danh-muc/ban-can-ho/ha-noi,keyword_seo,nhu cầu tăng 30%
bán chung cư Nam Từ Liêm 2 phòng ngủ,giao dịch,Hà Nội,can-ho-hanoi,TB,TB,5,danh-muc/ban-can-ho/nam-tu-liem,keyword_seo,phía Nam HN đang hút vốn
bán nhà đất Hà Đông sổ hồng riêng,giao dịch,Hà Nội,nha-dat-hanoi,TB,TB,4,danh-muc/ban-nha-dat/ha-dong,keyword_seo,
cho thuê căn hộ Cầu Giấy đầy đủ nội thất,giao dịch,Hà Nội,can-ho-hanoi,TB,TB,4,danh-muc/cho-thue-can-ho/cau-giay,keyword_seo,
bán căn hộ Đà Nẵng view biển,giao dịch,Đà Nẵng,bds-mien-trung,TB,thấp,5,danh-muc/ban-can-ho/da-nang,keyword_seo,thị trường +29% - cơ hội
đất nền Đà Nẵng giá rẻ 2026,giao dịch,Đà Nẵng,bds-mien-trung,TB,thấp,5,danh-muc/ban-dat-nen/da-nang,keyword_seo,quick win miền Trung
bán nhà đất Huế chính chủ,giao dịch,Huế,bds-mien-trung,thấp,thấp,5,danh-muc/ban-nha-dat/hue,keyword_seo,quick win - ít cạnh tranh
đất nền Khánh Hòa ven biển,giao dịch,Khánh Hòa,bds-mien-trung,thấp,thấp,4,danh-muc/ban-dat-nen/khanh-hoa,keyword_seo,
bán đất Bắc Ninh khu công nghiệp,giao dịch,Bắc Ninh,bds-mien-bac,TB,thấp,5,danh-muc/ban-dat/bac-ninh,keyword_seo,+17% - hạ tầng KCN
bán nhà Hải Phòng dưới 2 tỷ,giao dịch,Hải Phòng,bds-mien-bac,TB,thấp,4,danh-muc/ban-nha/hai-phong,keyword_seo,
cho thuê mặt bằng kinh doanh Quận 1,giao dịch,TP.HCM,mat-bang,thấp,TB,4,danh-muc/cho-thue-mat-bang/quan-1,keyword_seo,
cho thuê kho xưởng Bình Dương,giao dịch,Bình Dương,kho-xuong,TB,thấp,4,danh-muc/cho-thue-kho-xuong/binh-duong,keyword_seo,niche giá trị cao
bán biệt thự nghỉ dưỡng ven biển miền Trung,giao dịch,Miền Trung,bds-nghi-duong,thấp,TB,3,danh-muc/ban-biet-thu/nghi-duong,keyword_seo,
nhà đất gần tuyến metro số 1 TPHCM,giao dịch,TP.HCM,bds-tod,thấp,thấp,4,bai-viet/bds-quanh-metro-so-1,viewlink,TOD - xu hướng 2026
